"Submission ID","Performance Detail Submission ID","Created Date","Country of Manufacturer","Region","Website","Organisation Name","Submission Title","Disease Target (del)","Target Pathogen (del)","Serovar subtype","Stage of Development","Regulatory Approval","Type of Technology","Assay Target","Target Analyte(s)","Technology principle","Test Format","Instrument requirement","Level of automation","Lab vs. POC","Self-testing/Self-Collection","Validated Sample Types","Time to results excl sample prep (mins)","Connectivity Solution","FIND Evaluation","Test to be listed on FIND's web page?","Data to be published on FIND's web page","Revoked/Not Approved By","Study Type","Sensitivity (%)","Specificity (%)","Number of positive samples","Number of negative samples","Total number of samples","Reference","Date of study","Type of data source"
"a0B6900001Ll52u","a266900000AkgBO","29.10.2021","Germany","Europe","genekam.de","Genekam","ebolavirus (Zaire strain) Double Check","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52w","a266900000AkgBQ","29.10.2021","Germany","Europe","genekam.de","Genekam","ebolavirus Reston Strain","Ebola fever","Ebola virus","Reston ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","RT-PCR (conventional)","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52x","a266900000AkgBR","29.10.2021","Germany","Europe","genekam.de","Genekam","ebolavirus Sudan strain","Ebola fever","Ebola virus","Sudan ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","RT-PCR (conventional)","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52y","a266900000AkgBS","29.10.2021","Germany","Europe","genekam.de","Genekam","ebolavirus Zaire Strain","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","RT-PCR (conventional)","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll52z","a266900000AkgBT","29.10.2021","Germany","Europe","genekam.de","Genekam","ebolavirus Zaire strain Single Check","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll530","a266900000AkgC7","29.10.2021","France","Europe","horiba.com/en_en/medical","HORIBA ABX SAS","Zaire Ebolavirus - POCKIT Central","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","Unknown","qRT-PCR","Cartridge-based processing","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Unknown","85.00","Unknown","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll531","a266900000AkgCZ","29.10.2021","Russian Federation","Europe","interlabservice.ru/en","InterLabService ltd.","AmpliSens EBOV Zaire-FRT","Ebola fever","Ebola virus","Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Urine; Whole Blood; Other","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll532","a266900000AkgCa","29.10.2021","Russian Federation","Europe","interlabservice.ru/en","InterLabService ltd.","AmpliSens FiloA-screen-FRT PCR kit","Ebola fever","Ebola virus","Sudan ebolavirus; Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Whole Blood; Other","","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll533","a266900000AkgCp","29.10.2021","China","Western Pacific","bioperfectus.com","Jiangsu Bioperfectus Technologies Co., Ltd.","ebolavirus Real Time PCR Kit","Ebola fever","Ebola virus","Sudan ebolavirus; Zaire ebolavirus","Regulatory Achieved","CE-IVDD","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma; Urine; Whole Blood","76.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
"a0B6900001Ll534","a266900000AkgCx","29.10.2021","Korea, Republic of","South-East Asia","khmedical.co.kr","KH Medical Co., Ltd","RADI ebolavirus Detection Kit","Ebola fever","Ebola virus","Bundibugyo ebolavirus; Sudan ebolavirus; Zaire ebolavirus","Regulatory Status Unknown","None","Molecular","RNA","EBOV Nucleotide protein","qRT-PCR","NAT reagent kit (open source)","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","100.00","No","No","Yes","Yes","None","Company-Sponsored","","","","","","","",""
