submission_id,submission_title,manufacturer,permalink,stage_of_development,regulatory_status,type_of_technology,test_format,target_analyte,lab_vs_poc,validated_sample_types,assay_target,regex,country,region
77,New Scen Monkeypox IgG/IgM Rapid Test Cassette - self-testing,"NewScen Coast Bio-Pharmaceutical Co., ltd.",http://newscenbiotech.com,Research Use Only (RUO),None,Immunoassay,Rapid diagnostic test (strip or cassette),MPX IgG; MPX IgM,True Point of Care,Serum; Plasma; Whole Blood,Antibody (serological),^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
78,NG-Test Monkeypox virus,NG Biotech,https://www.ngbiotech.com/,Research Use Only (RUO),None,Immunoassay,Rapid diagnostic test (strip or cassette),Other,near Point of Care,Lesion fluid; Other,Antigen,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
79,Kaira Monkeypox Detection Kit,"OPTOLANE Technologies, Inc.",http://www.optolane.com,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",Other,Lab-based,Lesion fluid,DNA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
80,PKamp Monkeypox Virus Real-Time PCR RUO Kit V1,PerkinElmer,http://perkinelmer.com,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",MPX F3L gene,Lab-based,Purified DNA; Lesion fluid,DNA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
81,FastPlex MonkeyPox Virus Real Time PCR Kit,PreciGenome llc,http://precigenome.com,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Other,Lab-based,Unknown,DNA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
82,Monkeypox Virus Antigen Rapid Test (Immunochromatography),"QINGDAO HIGHTOP BIOTECH CO.,LTD.",http://hightopbio.com,Regulatory Achieved,CE-IVD,Immunoassay,Rapid diagnostic test (strip or cassette),Unknown,near Point of Care,Oropharyngeal swab; Lesion crusts; Lesion roof; Lesion fluid,Antigen,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
83,"Multicolour, multiplex qPCR for the detection of poxviruses",Robert Koch Institute,http://doi.org/10.1016/j.mcp.2009.10.008,Validation,None,Molecular,"NAT reagent kit – open source",Other,Lab-based,Unknown,DNA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
84,HuPox mmPCR system,Robert Koch Institute,http://doi.org/10.1016/j.mcp.2009.10.008,Validation,None,Molecular,Cartridge-based processing,Unknown,Lab-based,Unknown,DNA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
85,Monkeypox virus Nucleic Acid Diagnostic Kit,Sansure Biotech Inc.,http://Sansureglobal.com,Research Use Only (RUO),None,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
86,Monkeypox virus Nucleic Acid Diagnostic Kit (PCR-Fluorescence Probing),Sansure Biotech Inc.,http://www.sansure.com.cn,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",MPX F3L gene,Lab-based,Nasopharyngeal swab; Oropharyngeal swab; Serum; Whole Blood; Lesion crusts; Lesion fluid; Other,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
87,STANDARD M10 MPX/OPX,SD BIOSENSOR INC,http://sdbiosensor.com,Early Stage Development (partial prototype),None,Molecular,Cartridge-based processing,OPX E9L; MPX F3L gene; MPX G2R gene,near Point of Care,Serum; Plasma; Lesion crusts; Lesion roof; Lesion fluid,DNA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
88,Kanghua monkeypox virus nucleic acid detection kit,"Shandong Kanghua Biotechnology Co.,ltd.",http://khbio.com,Regulatory Achieved,CE-IVD,Molecular,"NAT reagent kit – open source",Unknown,Lab-based,Unknown,DNA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
